,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: BU,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served,Cost per recipe,Servings per recipe
Product Type:,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Oct 23,190,pineapple,85.75,"tops, skin, cores ",68.75,,Breakfast,978,pineapple water,1.5,0,16,lemon water,10,1.42,16
,60,broccoli stem,7.25,stem base ,1,,Lunch,2447,pineapple core vin,5.25,6.53,128,pineapple vin,1.5,12.99,128
,30,cilantro,3,stem,0.5,,Dinner,1755,,,,,,,,
Oct 24,220,pineapple,99.3,"tops, skin, cores",79.7,,Breakfast,1146,pineapple water,1.5,0,16,lime water,10,1.44,16
,60,broccoli stem,7.7,stem base,1.1,,Lunch,2153,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
,30,cilantro,3.4,stem,0.6,,Dinner,1611,,,,,,,,
Oct 25,189,pineapple,85.3,"tops, skin, cores",68.4,,Breakfast,1003,pineapple water,1.5,0,16,cuccumber water,10,1.55,16
,42,broccoli stem,5.4,stem base,0.7,,Lunch,2314,pineapple vin,5.25,6.53,128,pineapple vin,1.25,12.99,128
,60,cilantro,6.7,stem,1.1,,Dinner,1614,pickled veg salad ,2,1.61,16,,,,
Oct 26,,pineapple,,,,,Breakfast,1085,pineapple water,1.5,0,16,orange water,10,2.6,16
,,broccoli stem,,,,,Lunch,2086,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
,,cilantro,,,,,Dinner,1495,,,,,,,,
Oct 27,,pineapple,,,,,Breakfast,885,pineapple water,1.5,0,16,lemon water,10,1.42,16
,,broccoli stem,,,,,Lunch,2013,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
,,cilantro,,,,,Dinner,941,,,,,,,,
,,,,,,,,,,,,,,,,
Oct 30,,pineapple,,,,,Breakfast,1060,pineapple water,1.5,0,16,orange water,10,2.6,16
,,broccoli stem,,,,,Lunch,2290,pineapple vin,5.25,6.53,128,pineapple vin,1.5,12.99,128
,,cilantro,,,,,Dinner,1642,,,,,,,,
Oct 31,,pineapple,,,,,Breakfast,1111,pineapple water,1.5,0,16,lemon water,10,1.42,16
,,broccoli stem,,,,,Lunch,2098,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
,,cilantro,,,,,Dinner,1566,,,,,,,,
Nov 1,,pineapple,,,,,Breakfast,966,pineapple water,1.5,0,16,lime water,10,1.44,16
,,broccoli stem,,,,,Lunch,2447,pineapple vin,5.25,6.53,128,pineapple vin,2,12.99,128
,,cilantro,,,,,Dinner,1681,,,,,,,,
