,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: Rutgers,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
27-Nov,27,Bread Ends,2,0,0,,Breakfast,,,,,,,,,
27-Nov,,,,,,,Lunch ,769,French Toast Bites,2,0.17,72,,,,
27-Nov,,,,,,,Dinner ,,,,,,,,,
28-Nov,30,Bread Ends,2,0,0,,Breakfast,,,,,,,,,
28-Nov,,,,,,,Lunch ,827,French Toast Bites,2,0.17,72,,,,
28-Nov,,,,,,,Dinner ,,,,,,,,,
29-Nov,40,Bread Ends,2.4,0,0,,Breakfast,,,,,,,,,
29-Nov,,,,,,,Lunch ,852,French Toast Bites,2.4,0.17,86,,,,
29-Nov,,,,,,,Dinner ,,,,,,,,,
30-Nov,40,Bread Ends,2.6,0,0,,Breakfast,,,,,,,,,
30-Nov,,,,,,,Lunch ,892,French Toast Bites,2.6,0.17,93,,,,
30-Nov,,,,,,,Dinner ,,,,,,,,,
1-Dec,42,Bread Ends,2.8,0,0,,Breakfast,,,,,,,,,
1-Dec,,,,,,,Lunch ,765,French Toast Bites,2.8,0.17,100,,,,
1-Dec,,,,,,,Dinner ,,,,,,,,,
4-Dec,30,Bread Ends,2.4,0,0,,Breakfast,,,,,,,,,
4-Dec,,,,,,,Lunch ,790,French Toast Bites,2.4,0.17,86,,,,
4-Dec,,,,,,,Dinner ,,,,,,,,,
5-Dec,30,Bread Ends,2,0,0,,Breakfast,,,,,,,,,
5-Dec,,,,,,,Lunch ,874,French Toast Bites,2,0.17,72,,,,
5-Dec,,,,,,,Dinner ,,,,,,,,,
6-Dec,30,Bread Ends,1.5,0,0,,Breakfast,,,,,,,,,
6-Dec,,,,,,,Lunch ,753,French Toast Bites,1.5,0.17,54,,,,
6-Dec,,,,,,,Dinner ,,,,,,,,,
7-Dec,30,Bread Ends,0.5,0,0,,Breakfast,,,,,,,,,
7-Dec,,,,,,,Lunch ,853,French Toast Bites,0.5,0.17,18,,,,
7-Dec,,,,,,,Dinner ,,,,,,,,,
8-Dec,30,Bread Ends,0.6,0,0,,Breakfast,,,,,,,,,
8-Dec,,,,,,,Lunch ,761,French Toast Bite,0.6,0.17,21,,,,
8-Dec,,,,,,,Dinner ,,,,-39-,Combined Batch 7&8,,,,
11-Dec,30,Bread Ends ,1.86,0,0,,Breakfast,,,,,,,,,
11-Dec,,,,,,,Lunch ,789,French Toast Bites,1.86,0.17,66,,,,
11-Dec,,,,,,,Dinner ,,,,,,,,,
12-Dec,40,Bread Ends ,2,0,0,,Breakfast,,,,,,,,,
12-Dec,,,,,,,Lunch ,803,French Toast Bites,2,0.17,72,,,,
12-Dec,,,,,,,Dinner ,,,,,,,,,
13-Dec,30,Bread Ends ,0.5,0,0,,Breakfast,,,,,,,,,
13-Dec,,,,,,,Lunch ,888,French Toast Bites,0.5,0.17,18,,,,
13-Dec,,,,,,,Dinner ,,,,,,,,,
14-Dec,45,Bread Ends,1,0,0,,Breakfast,,,,,,,,,
14-Dec,,,,,,,Lunch ,716,French Toast Bites,1,0.17,36,,,,
14-Dec,,,,,,,Dinner ,,,,-54-,Combined 13&14,,,,
15-Dec,20,Bread Ends,2,0,0,,Breakfast,,,,,,,,,
15-Dec,,,,,,,Lunch ,441,French Toast Bites,2,0.17,72,,,,
15-Dec,,,,,,,Dinner ,,,,,,,,,
18-Dec,30,Bread Ends,2.5,0,0,,Breakfast,,,,,,,,,
18-Dec,,,,,,,Lunch ,452,French Toast Bites,2.5,0.17,90,,,,
18-Dec,,,,,,,Dinner ,,,,,,,,,
19-Dec,20,Bread Ends,2,0,0,,Breakfast,,,,,,,,,
19-Dec,,,,,,,Lunch ,,French Toast Bites,,0.17,,,,,
19-Dec,,,,,,,Dinner ,,,,,,,,,
20-Dec,,Bread Ends,,0,0,,Breakfast,,,,,,,,,
20-Dec,,,,,,,Lunch ,,French Toast Bites,,0.17,,,,,
20-Dec,,,,,,,Dinner ,,,,,,,,,
21-Dec,,Bread Ends,,,,,Breakfast,,,,,,,,,
21-Dec,,,,,,,Lunch ,,French Toast Bites,,0.17,,,,,
21-Dec,,,,,,,Dinner ,,,,,,,,,
22-Dec,,CLOSED ,,,,,Breakfast,,,,,,,,,
22-Dec,,CLOSED ,,,,,Lunch ,,,,,,,,,
,,,,,,,Dinner ,,,,,,,,,
,,,,,,,Breakfast,,,,,,,,,
,,,,,,,Lunch ,,,,,,,,,
,,,,,,,Dinner ,,,,,,,,,
,,,,,,,Breakfast,,,,,,,,,
,,,,,,,Lunch ,,,,,,,,,
,,,,,,,Dinner ,,,,,,,,,
