,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: SJSU,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
23-Oct,,,,,,,Breakfast,,,,,,,,,
23-Oct,,,,,,,Lunch ,,,,,,,,,
23-Oct,,,,,,,Dinner ,,,,,,,,,
24-Oct,50 lb,Yellow Pumpkin,5 lb,Stem,8 oz ,,Breakfast,750,,,,,,,,
24-Oct,,,,Slime,8 oz ,,Lunch ,1500,Pumpkin Chowder,5 lb,25.82,25,N/A,,,
24-Oct,,,,,,,Dinner ,1500,,,,,,,,
25-Oct,15 lb,,,Stem ,4oz,,Breakfast,,,,,,,,,
25-Oct,,Figleaf Squash (from SJSU Garden),2 lb,Slime,4oz,,Lunch ,20 (Garden Event) ,Chilacayote Jam,2 lb,,,,,,
25-Oct,,,,,,,Dinner ,,,,,,,,,
26-Oct,150 lb,Over Riped Watermelon,138 lb,Rinds ,22 lb,,Breakfast,,,,,,,,,
26-Oct,,,,,,,Lunch ,1500,Watermelon Agua Fresca,138 lb,7,0.87,,,,
26-Oct,,,,,,,Dinner ,1500,,,,,,,,
27-Oct,200 lb,Pumpkins,20 lb,Stem ,2 lb,,Breakfast,,,,,,,,,
27-Oct,,,,Slime,2 lb,,Lunch ,1500,Mashed Pumpkin,20 lb,13.98,0.63,,,,
27-Oct,,,,,,,Dinner ,1500,,20 lb,,,,,,
30-Oct,300 lb,Kabocha Squash,10 lb,Seeds,30 lb,,Breakfast,,,,,,,,,
30-Oct,,,,Slime,,,Lunch ,1500,Candied/Roasted Kobocha Squash ,10 lb,11.41,0.24,,,,
30-Oct,,,,Stem,,,Dinner ,1500,,10 lb,,,,,,
31-Oct,50 lb,Stewed Black Beans,50 lb,N/A,N/A,,Breakfast,,,,,,,,,
31-Oct,,,,,,,Lunch ,1500,Stewed Black Beans ,50 lb,11.61,0.13,,,,
31-Oct,,,,,,,Dinner ,1500,,50 lb,,,,,,
1-Nov,300 lb,Chicken Tinga,150 lb,N/A,N/A,,Breakfast,,,,,,,,,
1-Nov,,,,,,,Lunch ,1500,Chicken Tinga,150 lb,12.38,0.59,,,,
1-Nov,,,,,,,Dinner ,1500,,,,,,,,
2-Nov,20 lb,,,,,,Breakfast,,,,,,,,,
2-Nov,,Vegan Sausages,20 lb,N/A,N/A,,Lunch ,1500,Vegan Sausage bake,20 lb,24.08,0.73,,,,
2-Nov,,,,,,,Dinner ,1500,,20 lb,,,,,,
3-Nov,10 lb,,,,,,Breakfast,,,,,,,,,
3-Nov,,tomatos/ peppers,10 lb,stems,10 oz ,,Lunch ,1500,Salsa,10 lb,5.96,0.05,,,,
3-Nov,,,,,,,Dinner ,1500,,,,,,,,
6-Nov,12 lb,,,,,,Breakfast,,,,,,,,,
6-Nov,,eggs (from the breakfast),12 lb,-,-,,Lunch ,1500,vegetable fried rice ,12 lb,3.98,0.33,,,,
6-Nov,,,,,,,Dinner ,1500,,,,,,,,
7-Nov,2 gal,,,,,,Breakfast,,,,,,,,,
7-Nov,,Marinara Sause,2 gal,N/A,N/A,,Lunch ,1500,With vegetables/ vegetable bake,2 gal,16,0.32,,,,
7-Nov,,,,,,,Dinner ,1500,,,,,,,,
8-Nov,45 lb,,,,,,Breakfast,,,,,,,,,
8-Nov,,Kabucha Squash ,30 lb,slime,8 oz ,,Lunch ,1500,candied/roasted squash,30 lb,11.41,0.24,,,,
8-Nov,,,,seeds,8 oz ,,Dinner ,1500,From Holloween ,,,,,,,
9-Nov,50 lb,,,,,,Breakfast,,,,,,,,,
9-Nov,,Bananas,40 lb,10 lbs,peels,,Lunch ,1500,banana bread ,40 lb,1.14,0.14,,,,
9-Nov,,,,,,,Dinner ,1500,,,,,,,,
10-Nov,Campus Closed ,,,,,,Breakfast,,,,,,,,,
10-Nov,,,,,,,Lunch ,,,,,,,,,
10-Nov,,,,,,,Dinner ,,,,,,,,,
13-Nov,40 lb,,,,,,Breakfast,,,,,,,,,
13-Nov,,Impossible Meatballs,15 lb,-,-,,Lunch ,1500,Impossible Bolognese ,15 lb,13.33,1.11,,,,
13-Nov,,,,,,,Dinner ,1500,,,,,,,,
Nov14,24 Loaves,,,,,,Breakfast,,,,,,,,,
Nov14,,Rosemarry Fococcia ,12 Loaves,-,-,,Lunch ,1500,Stuffing ,12 loaves,11.94,0.18,,,,
Nov14,,,,,,,Dinner ,1500,,,,,,,,
Nov15,20 lb ,,,,,,Breakfast,,,,,,,,,
Nov15,,Tofu (from ROOTED staition),10 lb,-,-,,Lunch ,1500,Drunken Noodles with Tofu,10 lb,13.91,1.39,,,,
Nov15,,,,,,,Dinner ,1500,,,,,,,,
16-Nov,100 lb,,,seeds,1 lb,,Breakfast,,,,,,,,,
16-Nov,,Pumpkin (from decorations),12 lb,slime,12 oz,,Lunch ,1500,Pumpkin Pie,12 lb,13.2,0.55,,,,
16-Nov,,,,skin,8 oz ,,Dinner ,1500,,,,,,,,
17-Nov,3 lb of each ,,,,,,Breakfast,,,,,,,,,
17-Nov,,cilantro and mint,1 lb each,stems ,4 oz ,,Lunch ,1500,Chutney,1 lb each,0.43,0.01,,,,
17-Nov,,,,,,,Dinner ,1500,,,,,,,,
20-Nov,30 lb,,,,,,Breakfast,,,,,,,,,
20-Nov,,Napa Cabbage ,10 lb,stem ,1 lb,,Lunch ,1500,Stir-fry Vegetables ,10 lb,6.59,0.66,,,,
20-Nov,,,,,,,Dinner ,1500,,,,,,,,
21-Nov,,,,,,,Breakfast,,,,,,,,,
21-Nov,,,,,,,Lunch ,,,,,,,,,
21-Nov,,,,,,,Dinner ,,,,,,,,,
22-Nov,,,,,,,Breakfast,,,,,,,,,
22-Nov,,,,,,,Lunch ,,,,,,,,,
22-Nov,,,,,,,Dinner ,,,,,,,,,
