,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: Bristol,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in kilograms),(Product Type),(Volume in kilograms),(Product Type),(Volume in kilograms),,,(when utilization recipe served),,(in kilograms),(British Pounds/cents per recipe),(number of servings),,(of displaced recipe),(British Pounds/cents per recipe),(number of servings)
Oct 23,64kg,Broccoli,16kg,Woody stalk base,5kg,,Breakfast,182,Broccoli gratin,11kg,,,,,,
Oct 23,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Oct 23,,,,,,,Dinner ,276,,,,,,,,
Oct 24,40kg,Carrots,4kg,Tops,1.5kg,,Breakfast,179,Slaw,2.5kg,,,,,,
Oct 24,,,,,,,Lunch ,,,,,,,,,
Oct 24,,,,,,,Dinner ,279,,,,,,,,
Oct 25,40kg ,Swede,6kg,Skin,6kg,,Breakfast,173,n/a,,,,,,,
Oct 25,,,,,,,Lunch ,,,,,,,,,
Oct 25,,,,,,,Dinner ,280,,,,,,,,
Oct 26,72kg,Cauliflower,22kg,Woody stalk base,5kg,,Breakfast,117,Cauliflower gratin,17kg,,,,,,
Oct 26,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Oct 26,,,,,,,Dinner ,274,,,,,,,,
Oct 27,55kg,Red cabbage,7kg,Root,3.8kg,,Breakfast,137,Slaw,3.2kg,,,,,,
Oct 27,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Oct 27,,,,,,,Dinner ,244,,,,,,,,
Oct 30,16kg,peppers,3.2kg,"Stalk, Pith and seeds",3.2kg,,Breakfast,175,n/a,,,,,,,
Oct 30,,,,,,,Lunch ,,,,,,,,,
Oct 30,,,,,,,Dinner ,249,,,,,,,,
Oct 31,64kg,Broccoli,16kg,Woody stalk base,6kg,,Breakfast,136,Pickled broccoli,10kg,,,,,,
Oct 31,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Oct 31,,,,,,,Dinner ,245,,,,,,,,
Nov 1,45kg,Swede,6kg,Skin,6kg,,Breakfast,170,n/a,,,,,,,
Nov 1,,,,,,,Lunch ,,,,,,,,,
Nov 1,,,,,,,Dinner ,251,,,,,,,,
Nov 2,45kg,Carrots,4kg,Tops,0.8kg,,Breakfast,129,Stock,4kg,,,,,,
Nov 2,,,,,,,Lunch ,,,,,,,,,
Nov 2,,,,,,,Dinner ,233,,,,,,,,
Nov 3,55kg,Squash,6kg,"Stalk, slime, blossom end",3.4kg,,Breakfast,157,Roast squash gnudi,2.6kg,,,,,,
Nov 3,,,,,,,Lunch ,,,,,,,,,
Nov 3,,,,,,,Dinner ,237,,,,,,,,
Nov 6,64kg,Broccoli,15kg,Woody stalk base,5kg,,Breakfast,107,Remoulade,10kg,,,,,,
Nov 6,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Nov 6,,,,,,,Dinner ,139,,,,,,,,
Nov 7,45kg,Carrots,4kg,Tops,1.5kg,,Breakfast,106,slaw,2.5kg,,,,,,
Nov 7,,,,,,,Lunch ,,,,,,,,,
Nov 7,,,,,,,Dinner ,155,,,,,,,,
Nov 8,72kg,Cauliflower,17kg,Woody stalk base,4.5kg,,Breakfast,67,Cauliflower bhaji,12kg,,,,,,
Nov 8,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Nov 8,,,,,,,Dinner ,98,,,,,,,,
Nov 9,64kg,Broccoli,16kg,Woody stalk base,4.8kg,,Breakfast,83,Broccoli gratin,11kg,,,,,,
Nov 9,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Nov 9,,,,,,,Dinner ,102,,,,,,,,
Nov 10,40kg,Sprouts,6kg,Woody stalk base,6kg,,Breakfast,75,n/a,,,,,,,
Nov 10,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Nov 10,,,,,,,Dinner ,75,,,,,,,,
Nov 13,45kg,Carrots,4kg,Tops,1.6kg,,Breakfast,178,Stock,,,,,,,
Nov 13,,,,,,,Lunch ,,,,,,,,,
Nov 13,,,,,,,Dinner ,281,,,,,,,,
Nov14,12kg,Kale,2kg,Stalk base,0.5kg,,Breakfast,158,Kale and pumpkin seed pesto,1.5kg,,,,,,
Nov14,,,,,,,Lunch ,,,,,,,,,
Nov14,,,,,,,Dinner ,266,,,,,,,,
Nov15,55kg,Red cabbage,4kg,Heart,3kg,,Breakfast,167,Slaw,1kg,,,,,,
Nov15,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Nov15,,,,,,,Dinner ,263,,,,,,,,
Nov 16,64kg,Broccoli,16kg,Woody stalk base,3.2kg,,Breakfast,151,Remoulade,12kg,,,,,,
Nov 16,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Nov 16,,,,,,,Dinner ,262,,,,,,,,
Nov 17,40kg,Squash,6kg,"Stalk, slime, blossom end",3.2kg,,Breakfast,141,Roast squash harrissa and pomegrante salad,2.8kg,,,,,,
Nov 17,,,,,,,Lunch ,,,,,,,,,
Nov 17,,,,,,,Dinner ,222,,,,,,,,
Nov 20,64kg,Broccoli,16kg,Woody stalk base,2.2kg,,Breakfast,179,Broccoli soup,14kg,,,,,,
Nov 20,,,,Damaged outer leaves,,,Lunch ,,,,,,,,,
Nov 20,,,,,,,Dinner ,,,,,,,,,
Nov 21,,,,,,,Breakfast,,,,,,,,,
Nov 21,,,,,,,Lunch ,,,,,,,,,
Nov 21,,,,,,,Dinner ,,,,,,,,,
Nov 22,,,,,,,Breakfast,,,,,,,,,
Nov 22,,,,,,,Lunch ,,,,,,,,,
Nov 22,,,,,,,Dinner ,,,,,,,,,
