,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: UCLA,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
30-Oct,,,,,,,Breakfast,1688,Bruin Scramble,78,0.684,312,Breakfast Taco,62.5,0.602,250
30-Oct,,,,,,,Lunch ,2544,Hominy in Pork Gravy,64,0.849,256,Pork Pozole,52,0.939,205
30-Oct,,,,,,,Drey (To go Location),1041,Impossible California Burrito,50,1.06,200,Impossible Tan Tan Ramen,40,1.68,160
30-Oct,,,,,,,Dinner ,2660,Achiote Beef Brisket,35,0.936,140, Texas BBQ Brisket,14,1.234,56
31-Oct,,,,,,,Breakfast,1421,Scramble Egg,94.75,0.46,378,Southern Style Bruin Scramble,75.5,0.56,302
31-Oct,,,,,,,Lunch ,2293,BBQ Chicken Drumsticks,126.75,0.475,507,Grilled Honey Lemon Chicken Drumsticks,101.5,0.765,406
31-Oct,,,,,,,Drey (To go Location),981,Beef Bulgogi,122.5,2.44,245,Bulgogi Bento,261,2.53,196
31-Oct,,,,,,,Dinner ,3493,Chiipotle BBQ Ribs,26.75,0.88,107,Kansas City Pork Ribs,19,1.41,75
1-Nov,,,,,,,Breakfast,1665,Huevos con Chorizo y Papas,33.75,0.5,135,Scramble Eggs,24,0.46,95
1-Nov,,,,,,,Lunch ,2383,Loaded Mac N Cheese,54.25,,217,Mac N Cheese Burger,44,,174
1-Nov,,,,,,,Drey (To go Location),1049,,131,,262,,105,,210
1-Nov,,,,,,,Dinner ,2719,Diced Pineapple at Flex Bar,95.25,,381,Spicy Pineapple Salsa,77,,305
2-Nov,,,,,,,Breakfast,1712,,47,,188,,33,,132
2-Nov,,,,,,,Lunch ,2387,Coconut Rice w/ Pantains,28.25,,113,Caribbean Tofu & Coconut Rice Bowl,20,,79
2-Nov,,,,,,,Drey (To go Location),930,,116,,232,,93,,186
