,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: UNT,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Oct 23,,,,,,,Breakfast,,,,,,,,,
Oct 23,,,,,,,Lunch ,,,,,,,,,
Oct 23,,,,,,,Dinner ,,,,,,,,,
Oct 24,,,,,,,Breakfast,,,,,,,,,
Oct 24,,,,,,,Lunch ,,,,,,,,,
Oct 24,,,,,,,Dinner ,,,,,,,,,
Oct 25,40,,,,,,Breakfast,,,,,,,,,
Oct 25,,Basmati Rice,8.5,,0,,Lunch ,,,,,,,,,
Oct 25,,,,,,,Dinner ,269,Basmati Taboulleh Salad,8.5,,,,,,
Oct 26,20,,,,,,Breakfast,,,,,,,,,
Oct 26,,Navy Beans,9.25,,0,,Lunch ,303,Pesto Navy Beans with Tomato,9.25,,,,,,
Oct 26,,,,,,,Dinner ,,,,,,,,,
Oct 27,50,,,,,,Breakfast,,,,,,,,,
Oct 27,,Pinto Beans,9.75,,0,,Lunch ,355,Spicy Refried Beans,9.75,,,,,,
Oct 27,,,,,,,Dinner ,,,,,,,,,
Oct 30,20,,,,,,Breakfast,,,,,,,,,
Oct 30,,Red Lentils,4.5,,0,,Lunch ,425,Coconut Red Lentil Stew,4.5,,,,,,
Oct 30,,,,,,,Dinner ,,,,,,,,,
Oct 31,20,,,,,,Breakfast,,,,,,,,,
Oct 31,,Adzuki Beans,5.25,,0,,Lunch ,322, Sweet Red Bean Bao Bun,5.25,,,,,,
Oct 31,,,,,,,Dinner ,,,,,,,,,
Nov 1,50,,,,,,Breakfast,,,,,,,,,
Nov 1,,Chickpeas,4.5,,0,,Lunch ,395,Indian Curry Hummus,4.5,,,,,,
Nov 1,,,,,,,Dinner ,,,,,,,,,
Nov 2,30,,,,,,Breakfast,,,,,,,,,
Nov 2,,Polenta,6,,0,,Lunch ,,,,,,,,,
Nov 2,,,,,,,Dinner ,422,Grilled Polenta with House Kale Pesto,6,,,,,,
Nov 3,50,,,,,,Breakfast,,,,,,,,,
Nov 3,,Black Beans,8.25,,0,,Lunch ,298,Spicy Black Bean Dip,8.25,,,,,,
Nov 3,,,,,,,Dinner ,,,,,,,,,
Nov 6,15,,,,,,Breakfast,,,,,,,,,
Nov 6,,Barley,4,,0,,Lunch ,355,MG Barley Risotto,4,,,,,,
Nov 6,,,,,,,Dinner ,,,,,,,,,
Nov 7,20,,,,,,Breakfast,,,,,,,,,
Nov 7,,Farro,5.5,,0,,Lunch ,365,Fall Farro Salad,5.5,,,,,,
Nov 7,,,,,,,Dinner ,,,,,,,,,
Nov 8,20,,,,,,Breakfast,,,,,,,,,
Nov 8,,Golden Lentils,6.5,,0,,Lunch ,,,,,,,,,
Nov 8,,,,,,,Dinner ,455,Lentil & Potato Patty,6.5,,,,,,
Nov 9,20,,,,,,Breakfast,,,,,,,,,
Nov 9,,Black Eyed Peas,5,,0,,Lunch ,265,Texas Caviar,5,,,,,,
Nov 9,,,,,,,Dinner ,,,,,,,,,
Nov 10,50,,,,,,Breakfast,,,,,,,,,
Nov 10,,Pinto Beans,4.5,,0,,Lunch ,366,Spicy Kale & Pinto Bean Stew,4.5,,,,,,
Nov 10,,,,,,,Dinner ,,,,,,,,,
Nov 13,25,,,,,,Breakfast,,,,,,,,,
Nov 13,,Wild Rice Blend,8,,0,,Lunch ,435,Wild Rice Salad,8,,,,,,
Nov 13,,,,,,,Dinner ,,,,,,,,,
Nov14,50,,,,,,Breakfast,,,,,,,,,
Nov14,,Short Grain Rice,6.25,,0,,Lunch ,366,Griddled Rice Cakes,6.25,,,,,,
Nov14,,,,,,,Dinner ,,,,,,,,,
Nov15,20,,,,,,Breakfast,,,,,,,,,
Nov15,,Split Peas,5,,0,,Lunch ,378,Split Peas Soup,5,,,,,,
Nov15,,,,,,,Dinner ,,,,,,,,,
Nov 16,25,,,,,,Breakfast,,,,,,,,,
Nov 16,,Arborio Rice,5.25,,0,,Lunch ,,Fried Arancini with Farm Basil Pesto,5.25,,,,,,
Nov 16,,,,,,,Dinner ,,,,,,,,,
Nov 17,25,,,,,,Breakfast,,,,,,,,,
Nov 17,,Par Boiled Rice,6,,0,,Lunch ,465,Mexican Rice Salad,6,,,,,,
Nov 17,,,,,,,Dinner ,,,,,,,,,
Nov 20,20,,,,,,Breakfast,,,,,,,,,
Nov 20,,Kidney Beans,5.25,,0,,Lunch ,,,,,,,,,
Nov 20,,,,,,,Dinner ,175,Old Fashioned Kidney Bean Salad,5.25,,,,,,
Nov 21,25,,,,,,Breakfast,,,,,,,,,
Nov 21,,Grits,6,,0,,Lunch ,168,Fried Grit Cakes,6,,,,,,
Nov 21,,,,,,,Dinner ,,,,,,,,,
Nov 22,,,,,,,Breakfast,,,,,,,,,
Nov 22,,,,,,,Lunch ,,,,,,,,,
Nov 22,,,,,,,Dinner ,,,,,,,,,
