,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: CIA,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Oct 23,,,,,,,Breakfast,,,,,,,,,
Oct 23,,,,,,,Lunch ,,,,,,,,,
Oct 23,,,,,,,Dinner ,,,,,,,,,
Oct 24,,,,,,,Breakfast,,,,,,,,,
Oct 24,,,,,,,Lunch ,,,,,,,,,
Oct 24,,,,,,,Dinner ,,,,,,,,,
Oct 25,,,,,,,Breakfast,,,,,,,,,
Oct 25,,,,,,,Lunch ,,,,,,,,,
Oct 25,,,,,,,Dinner ,,,,,,,,,
Oct 26,,,,,,,Breakfast,,,,,,,,,
Oct 26,,,,,,,Lunch ,,,,,,,,,
Oct 26,,,,,,,Dinner ,,,,,,,,,
Oct 27,,,,,,,Breakfast,,,,,,,,,
Oct 27,,,,,,,Lunch ,,,,,,,,,
Oct 27,,,,,,,Dinner ,,,,,,,,,
Oct 30,,,,,,,Breakfast,,,,,,,,,
Oct 30,,,,,,,Lunch ,,,,,,,,,
Oct 30,,,,,,,Dinner ,,,,,,,,,
Oct 31,,,,,,,Breakfast,,,,,,,,,
Oct 31,,,,,,,Lunch ,,,,,,,,,
Oct 31,,,,,,,Dinner ,,,,,,,,,
Nov 1,,,,,,,Breakfast,,,,,,,,,
Nov 1,,,,,,,Lunch ,,,,,,,,,
Nov 1,,,,,,,Dinner ,,,,,,,,,
Nov 2,,,,,,,Breakfast,,,,,,,,,
Nov 2,,,,,,,Lunch ,,,,,,,,,
Nov 2,,,,,,,Dinner ,,,,,,,,,
Nov 3,,,,,,,Breakfast,,,,,,,,,
Nov 3,,,,,,,Lunch ,,,,,,,,,
Nov 3,,,,,,,Dinner ,,,,,,,,,
Nov 6,,,,,,,Breakfast,,,,,,,,,
Nov 6,,,,,,,Lunch ,,,,,,,,,
Nov 6,,,,,,,Dinner ,,,,,,,,,
Nov 7,,,,,,,Breakfast,,,,,,,,,
Nov 7,,,,,,,Lunch ,,,,,,,,,
Nov 7,,,,,,,Dinner ,,,,,,,,,
Nov 8,,,,,,,Breakfast,,,,,,,,,
Nov 8,,,,,,,Lunch ,,,,,,,,,
Nov 8,,,,,,,Dinner ,,,,,,,,,
Nov 9,,,,,,,Breakfast,,,,,,,,,
Nov 9,,,,,,,Lunch ,,,,,,,,,
Nov 9,,,,,,,Dinner ,,,,,,,,,
Nov 10,,,,,,,Breakfast,,,,,,,,,
Nov 10,,,,,,,Lunch ,,,,,,,,,
Nov 10,,,,,,,Dinner ,,,,,,,,,
Nov 13,,,,,,,Breakfast,,,,,,,,,
Nov 13,,,,,,,Lunch ,,,,,,,,,
Nov 13,,,,,,,Dinner ,,,,,,,,,
Nov14,,,,,,,Breakfast,,,,,,,,,
Nov14,,,,,,,Lunch ,,,,,,,,,
Nov14,,,,,,,Dinner ,,,,,,,,,
Nov15,,,,,,,Breakfast,,,,,,,,,
Nov15,,,,,,,Lunch ,,,,,,,,,
Nov15,,,,,,,Dinner ,,,,,,,,,
Nov 16,,,,,,,Breakfast,,,,,,,,,
Nov 16,,,,,,,Lunch ,,,,,,,,,
Nov 16,,,,,,,Dinner ,,,,,,,,,
Nov 17,,,,,,,Breakfast,,,,,,,,,
Nov 17,,,,,,,Lunch ,,,,,,,,,
Nov 17,,,,,,,Dinner ,,,,,,,,,
Nov 20,,,,,,,Breakfast,,,,,,,,,
Nov 20,,,,,,,Lunch ,,,,,,,,,
Nov 20,,,,,,,Dinner ,,,,,,,,,
Nov 21,,,,,,,Breakfast,,,,,,,,,
Nov 21,,,,,,,Lunch ,,,,,,,,,
Nov 21,,,,,,,Dinner ,,,,,,,,,
Nov 22,,,,,,,Breakfast,,,,,,,,,
Nov 22,,,,,,,Lunch ,,,,,,,,,
Nov 22,,,,,,,Dinner ,,,,,,,,,
