,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: Rutgers,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Nov 27,27# ,Bread Ends,2#,0,0,,Breakfast,,,2#,,,,,,
Nov 27,,,,,,,Lunch ,769,French Toast Bites,,0.17,72,,,,
Nov 27,,,,,,,Dinner ,,,,,,,,,
Nov 28,30#,Bread Ends,2 #,0,0,,Breakfast,,,2 #,,,,,,
Nov 28,,,,,,,Lunch ,827,French Toast Bites,,0.17,72,,,,
Nov 28,,,,,,,Dinner ,,,,,,,,,
Nov 29,40#,,,,,,Breakfast,,,,,,,,,
Nov 29,,Bread Ends,2.4 #,0,0,,Lunch ,852,French Toast Bites,2.4 #,0.17,86,,,,
Nov 29,,,,,,,Dinner ,,,,,,,,,
Nov 30,40#,,,,,,Breakfast,,,,,,,,,
Nov 30,,Bread Ends,2.6 #,0,0,,Lunch ,892,French Toast Bites,2.6#,0.17,93,,,,
Nov 30,,,,,,,Dinner ,,,,,,,,,
Dec 1,42#,,,,,,Breakfast,,,,,,,,,
Dec 1,,Bread Ends,2.8#,0,0,,Lunch ,765,French Toast Bites,2.8#,0.17,100,,,,
Dec 1,,,,,,,Dinner ,,,,,,,,,
,,,,,,,,,,,,,,,,
Dec 4,30#,,,,,,Breakfast,,,,,,,,,
Dec 4,,Bread Ends,2.4 #,0,0,,Lunch ,790,French Toast Bites,2.4#,0.17,86,,,,
Dec 4,,,,,,,Dinner ,,,,,,,,,
Dec 5,30#,,,,,,Breakfast,,,,,,,,,
Dec 5,,Bread Ends,2#,0,0,,Lunch ,874,French Toast Bites,2#,0.17,72,,,,
Dec 5,,,,,,,Dinner ,,,,,,,,,
Dec 6,30#,,,,,,Breakfast,,,,,,,,,
Dec 6,,Bread Ends,1.5#,0,0,,Lunch ,753,French Toast Bites,1.5#,0.17,54,,,,
Dec 6,,,,,,,Dinner ,,,,,,,,,
Dec 7,30#,,,,,,Breakfast,,,,,,,,,
Dec 7,,Bread Ends,.5#,0,0,,Lunch ,853,French Toast Bites,.5#,0.17,18,,,,
Dec 7,,,,,,,Dinner ,,,,,,,,,
,,,,,,,,,,,,,,,,
Dec 8,30#,,,,,,Breakfast,,,,,,,,,
Dec 8,,Bread Ends,.6 #,0,0,,Lunch ,761,French Toast Bite,.6 #,0.17,21,,,,
Dec 8,,,,,,,Dinner ,,,,-39-,Combined Batch 7&8,,,,
Dec 11,30#,,,,,,Breakfast,,,,,,,,,
Dec 11,,Bread Ends ,1.86#,0,0,,Lunch ,789,French Toast Bites,1.86#,0.17,66,,,,
Dec 11,,,,,,,Dinner ,,,,,,,,,
Dec 12,40#,,,,,,Breakfast,,,,,,,,,
Dec 12,,Bread Ends ,2#,0,0,,Lunch ,803,French Toast Bites,2#,0.17,72,,,,
Dec 12,,,,,,,Dinner ,,,,,,,,,
Dec 13,30 # ,,,,,,Breakfast,,,,,,,,,
Dec 13,,Bread Ends ,0.5,0,0,,Lunch ,888,French Toast Bites,0.5#,0.17,18,,,,
Dec 13,,,,,,,Dinner ,,,,,,,,,
Dec 14,45# ,,,,,,Breakfast,,,,,,,,,
Dec 14,,Bread Ends,1#,0,0,,Lunch ,716,French Toast Bites,1#,0.17,36,,,,
Dec 14,,,,,,,Dinner ,,,,-54-,Combined 13&14,,,,
,,,,,,,,,,,,,,,,
Dec 15,20#,,,,,,Breakfast,,,,,,,,,
Dec 15,,Bread Ends,2#,0,0,,Lunch ,441,French Toast Bites,2#,0.17,72,,,,
Dec 15,,,,,,,Dinner ,,,,,,,,,
Dec 18,30#,,,,,,Breakfast,,,,,,,,,
Dec 18,,Bread Ends,2.5#,0,0,,Lunch ,452,French Toast Bites,2.5#,0.17,90,,,,
Dec 18,,,,,,,Dinner ,,,,,,,,,
Dec 19,20# ,,,,,,Breakfast,,,,,,,,,
Dec 19,,Bread Ends,2#,0,0,,Lunch ,,French Toast Bites,,0.17,,,,,
Dec 19,,,,,,,Dinner ,,,,,,,,,
Dec 20,,,,,,,Breakfast,,,,,,,,,
Dec 20,,Bread Ends,,0,0,,Lunch ,,French Toast Bites,,0.17,,,,,
Dec 20,,,,,,,Dinner ,,,,,,,,,
Dec 21,,,,,,,Breakfast,,,,,,,,,
Dec 21,,Bread Ends,,,,,Lunch ,,French Toast Bites,,0.17,,,,,
Dec 21,,,,,,,Dinner ,,,,,,,,,
,,,,,,,,,,,,,,,,
Dec 22,,CLOSED ,,,,,Breakfast,,,,,,,,,
Dec 22,,CLOSED ,,,,,Lunch ,,,,,,,,,
,,,,,,,Dinner ,,,,,,,,,
,,,,,,,Breakfast,,,,,,,,,
,,,,,,,Lunch ,,,,,,,,,
,,,,,,,Dinner ,,,,,,,,,
,,,,,,,Breakfast,,,,,,,,,
,,,,,,,Lunch ,,,,,,,,,
,,,,,,,Dinner ,,,,,,,,,
