,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: SJSU,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Oct 23,,,,,,,Breakfast,,,,,,,,,
Oct 23,,,,,,,Lunch ,,,,,,,,,
Oct 23,,,,,,,Dinner ,,,,,,,,,
Oct 24,50 lb,Yellow Pumpkin,5 lb,Stem,8 oz ,,Breakfast,750,,,,,,,,
Oct 24,,,,Slime,8 oz ,,Lunch ,1500,Pumpkin Chowder,5 lb,25.82,25,N/A,,,
Oct 24,,,,,,,Dinner ,1500,,,,,,,,
Oct 25,15 lb,,,Stem ,4oz,,Breakfast,,,,,,,,,
Oct 25,,Figleaf Squash (from SJSU Garden),2 lb,Slime,4oz,,Lunch ,20 (Garden Event) ,Chilacayote Jam,2 lb,,,,,,
Oct 25,,,,,,,Dinner ,,,,,,,,,
Oct 26,150 lb,Over Riped Watermelon,138 lb,Rinds ,22 lb,,Breakfast,,,,,,,,,
Oct 26,,,,,,,Lunch ,1500,Watermelon Agua Fresca,138 lb,7,0.87,,,,
Oct 26,,,,,,,Dinner ,1500,,,,,,,,
Oct 27,200 lb,Pumpkins,20 lb,Stem ,2 lb,,Breakfast,,,,,,,,,
Oct 27,,,,Slime,2 lb,,Lunch ,1500,Mashed Pumpkin,20 lb,13.98,0.63,,,,
Oct 27,,,,,,,Dinner ,1500,,20 lb,,,,,,
,,,,,,,,,,,,,,,,
Oct 30,300 lb,Kabocha Squash,10 lb,Seeds,30 lb,,Breakfast,,,,,,,,,
Oct 30,,,,Slime,,,Lunch ,1500,Candied/Roasted Kobocha Squash ,10 lb,11.41,0.24,,,,
Oct 30,,,,Stem,,,Dinner ,1500,,10 lb,,,,,,
Oct 31,50 lb,Stewed Black Beans,50 lb,N/A,N/A,,Breakfast,,,,,,,,,
Oct 31,,,,,,,Lunch ,1500,Stewed Black Beans ,50 lb,11.61,0.13,,,,
Oct 31,,,,,,,Dinner ,1500,,50 lb,,,,,,
Nov 1,300 lb,Chicken Tinga,150 lb,N/A,N/A,,Breakfast,,,,,,,,,
Nov 1,,,,,,,Lunch ,1500,Chicken Tinga,150 lb,12.38,0.59,,,,
Nov 1,,,,,,,Dinner ,1500,,,,,,,,
Nov 2,20 lb,,,,,,Breakfast,,,,,,,,,
Nov 2,,Vegan Sausages,20 lb,N/A,N/A,,Lunch ,1500,Vegan Sausage bake,20 lb,24.08,0.73,,,,
Nov 2,,,,,,,Dinner ,1500,,20 lb,,,,,,
Nov 3,10 lb,,,,,,Breakfast,,,,,,,,,
Nov 3,,tomatos/ peppers,10 lb,stems,10 oz ,,Lunch ,1500,Salsa,10 lb,5.96,0.05,,,,
Nov 3,,,,,,,Dinner ,1500,,,,,,,,
,,,,,,,,,,,,,,,,
Nov 6,12 lb,,,,,,Breakfast,,,,,,,,,
Nov 6,,eggs (from the breakfast),12 lb,-,-,,Lunch ,1500,vegetable fried rice ,12 lb,3.98,0.33,,,,
Nov 6,,,,,,,Dinner ,1500,,,,,,,,
Nov 7,2 gal,,,,,,Breakfast,,,,,,,,,
Nov 7,,Marinara Sause,2 gal,N/A,N/A,,Lunch ,1500,With vegetables/ vegetable bake,2 gal,16,0.32,,,,
Nov 7,,,,,,,Dinner ,1500,,,,,,,,
Nov 8,45 lb,,,,,,Breakfast,,,,,,,,,
Nov 8,,Kabucha Squash ,30 lb,slime,8 oz ,,Lunch ,1500,candied/roasted squash,30 lb,11.41,0.24,,,,
Nov 8,,,,seeds,8 oz ,,Dinner ,1500,From Holloween ,,,,,,,
Nov 9,50 lb,,,,,,Breakfast,,,,,,,,,
Nov 9,,Bananas,40 lb,10 lbs,peels,,Lunch ,1500,banana bread ,40 lb,1.14,0.14,,,,
Nov 9,,,,,,,Dinner ,1500,,,,,,,,
Nov 10,Campus Closed ,,,,,,Breakfast,,,,,,,,,
Nov 10,,,,,,,Lunch ,,,,,,,,,
Nov 10,,,,,,,Dinner ,,,,,,,,,
,,,,,,,,,,,,,,,,
Nov 13,40 lb,,,,,,Breakfast,,,,,,,,,
Nov 13,,Impossible Meatballs,15 lb,-,-,,Lunch ,1500,Impossible Bolognese ,15 lb,13.33,1.11,,,,
Nov 13,,,,,,,Dinner ,1500,,,,,,,,
Nov14,24 Loaves,,,,,,Breakfast,,,,,,,,,
Nov14,,Rosemarry Fococcia ,12 Loaves,-,-,,Lunch ,1500,Stuffing ,12 loaves,11.94,0.18,,,,
Nov14,,,,,,,Dinner ,1500,,,,,,,,
Nov15,20 lb ,,,,,,Breakfast,,,,,,,,,
Nov15,,Tofu (from ROOTED staition),10 lb,-,-,,Lunch ,1500,Drunken Noodles with Tofu,10 lb,13.91,1.39,,,,
Nov15,,,,,,,Dinner ,1500,,,,,,,,
Nov 16,100 lb,,,seeds,1 lb,,Breakfast,,,,,,,,,
Nov 16,,Pumpkin (from decorations),12 lb,slime,12 oz,,Lunch ,1500,Pumpkin Pie,12 lb,13.2,0.55,,,,
Nov 16,,,,skin,8 oz ,,Dinner ,1500,,,,,,,,
Nov 17,3 lb of each ,,,,,,Breakfast,,,,,,,,,
