,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: Stanford,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Oct 23,225,Protein (Chicken),28.8 LBS. Chicken Thigh ,N/A,N/.A,,Breakfast,,,,,,,,,
Oct 23,,,,,,,Lunch ,,,28.8,,250,,,,
Oct 23,TBD,Vegtable Peels ,12.4,N/A,N/A,,Dinner ,,Pho Broth/Sliced Meat,12.4,,,,,,
Oct 24,225,Protein (Chicken),37.4 Lbs Chicken Drumstick,N/A,N/A,,Breakfast,,,,,,,,,
Oct 24,,,,,,,Lunch ,,,,,,,,,
Oct 24,,,,,,,Dinner ,,Pho Broth/Sliced Meat,37.4,,330,,,,
Oct 25,,,,,,,Breakfast,,,,,,,,,
Oct 25,,,,,,,Lunch ,,,,,,,,,
Oct 25,,,,,,,Dinner ,,,,,,,,,
Oct 26,100,Rice,86.5,N/A,N/A,,Breakfast,,Lugaw ,86.5,,173,,,,
Oct 26,,,,,,,Lunch ,,,,,,,,,
Oct 26,,,,,,,Dinner ,,,,,,,,,
Oct 27,,,,,,,Breakfast,,,,,,,,,
Oct 27,,,,,,,Lunch ,,,,,,,,,
Oct 27,,,,,,,Dinner ,,,,,,,,,
Oct 30,300,Protein Beef ,134,N/A,N/A,,Breakfast,,Beef Japanese Curry,134,,357,,,,
Oct 30,,,,,,,Lunch ,,,,,,,,,
Oct 30,,,,,,,Dinner ,,,,,,,,,
Oct 31,100,Rice,36.8,N/A,N/A,,Breakfast,,,,,,,,,
Oct 31,,,,,,,Lunch ,,Lugaw,36.8,,73,,,,
Oct 31,,,,,,,Dinner ,,,,,,,,,
Nov 1,,,,,,,Breakfast,,,,,,,,,
Nov 1,,,,,,,Lunch ,,,,,,,,,
Nov 1,,,,,,,Dinner ,,,,,,,,,
Nov 2,,,,,,,Breakfast,,,,,,,,,
Nov 2,,,,,,,Lunch ,,,,,,,,,
Nov 2,,,,,,,Dinner ,,,,,,,,,
Nov 3,,,,,,,Breakfast,,,,,,,,,
Nov 3,,,,,,,Lunch ,,,,,,,,,
Nov 3,,,,,,,Dinner ,,,,,,,,,
Nov 5,100,,,,,,Breakfast,,,,,,,,,
Nov 5,,Beans,36.6,,,,Lunch ,,Black Bean salad,36.6,,146,,,,
Nov 5,,,,,,,Dinner ,,,,,,,,,
Nov 7,,,,,,,Breakfast,,,,,,,,,
Nov 7,,,,,,,Lunch ,,,,,,,,,
Nov 7,,,,,,,Dinner ,,,,,,,,,
Nov 8,,,,,,,Breakfast,,,,,,,,,
Nov 8,,,,,,,Lunch ,,,,,,,,,
Nov 8,,,,,,,Dinner ,,,,,,,,,
Nov 9,,,,,,,Breakfast,,,,,,,,,
Nov 9,,,,,,,Lunch ,,,,,,,,,
Nov 9,,,,,,,Dinner ,,,,,,,,,
Nov 10,,,,,,,Breakfast,,,,,,,,,
Nov 10,,,,,,,Lunch ,,,,,,,,,
Nov 10,,,,,,,Dinner ,,,,,,,,,
Nov 13,,,,,,,Breakfast,,,,,,,,,
Nov 13,,,,,,,Lunch ,,,,,,,,,
Nov 13,,,,,,,Dinner ,,,,,,,,,
Nov14,,,,,,,Breakfast,,,,,,,,,
Nov14,,,,,,,Lunch ,,,,,,,,,
Nov14,,,,,,,Dinner ,,,,,,,,,
Nov15,250,,,,,,Breakfast,,,,,,,,,
Nov15,,Pork,28.6,,,,Lunch ,,Pork Fried Rice,28.6,,76,,,,
Nov15,,,,,,,Dinner ,,,,,,,,,
Nov 16,120,,,,,,Breakfast,,,,,,,,,
Nov 16,,rice ,56.7,,,,Lunch ,,Lugaw,56.7,,141,,,,
Nov 16,,,,,,,Dinner ,,,,,,,,,
Nov 17,100,,,,,,Breakfast,,,,,,,,,
Nov 17,,Beans ,87.5,,,,Lunch ,,Black Bean salad,87.5,,262,,,,
Nov 17,,,,,,,Dinner ,,,,,,,,,
Nov 20,,,,,,,Breakfast,,,,,,,,,
Nov 20,,,,,,,Lunch ,,,,,,,,,
Nov 20,,,,,,,Dinner ,,,,,,,,,
Nov 21,,,,,,,Breakfast,,,,,,,,,
Nov 21,,,,,,,Lunch ,,,,,,,,,
Nov 21,,,,,,,Dinner ,,,,,,,,,
Nov 22,,,,,,,Breakfast,,,,,,,,,
Nov 22,,,,,,,Lunch ,,,,,,,,,
Nov 22,,,,,,,Dinner ,,,,,,,,,
